id,geometry
1,"POLYGON ((108.22190491198535 16.06079525785969, 108.22241836143829 16.060783332180925, 108.22240100653363 16.060524323409307, 108.22202702518274 16.06050895759929, 108.221921261426 16.060627920599035, 108.22190491198535 16.06079525785969))"
2,"POLYGON ((108.22208545644423 16.060435971812577, 108.22217913627654 16.06051806669647, 108.22220005638654 16.060513972959473, 108.22220553262952 16.060469437170156, 108.22211885162542 16.060396771292485, 108.22208545644423 16.060435971812577))"
3,"POLYGON ((108.22234648121741 16.06047857076166, 108.22240093013954 16.060491942695403, 108.22242876312681 16.06046084961852, 108.22237983815808 16.060423179845092, 108.22234648121741 16.06047857076166))"
4,"POLYGON ((108.222433050922 16.060504014669373, 108.22247356267131 16.06052416334679, 108.22252099367073 16.060520011088087, 108.22253766097808 16.06048759343014, 108.22245664385714 16.060449994484276, 108.222433050922 16.060504014669373))"
5,"POLYGON ((108.22245857128219 16.060379831653467, 108.22250396181593 16.060397945757448, 108.22253242556602 16.060338518003785, 108.22251495395689 16.060325739121044, 108.22247164207619 16.060301549017485, 108.22247723604553 16.060306933489883, 108.22245569630277 16.060344084104806, 108.2224710765379 16.06035754220811, 108.22245857128219 16.060379831653467))"
6,"POLYGON ((108.2227623361569 16.06049991499523, 108.22272673337915 16.060786024700626, 108.22289417082963 16.06078565502801, 108.22292157358322 16.06057242038956, 108.2227623361569 16.06049991499523))"
7,"POLYGON ((108.22284511488128 16.060101717241004, 108.22316695582933 16.05989997510344, 108.22302973140462 16.05969519932106, 108.22271207018322 16.059894233618905, 108.22284511488128 16.060101717241004))"
8,"POLYGON ((108.22301117875922 16.060110794947338, 108.22316722044432 16.060011958398952, 108.22313496580794 16.059943220287515, 108.22296636958379 16.06004343374209, 108.22301117875922 16.060110794947338))"
9,"POLYGON ((108.22283885186435 16.05981300153513, 108.2229047922282 16.05976878196027, 108.22289167379469 16.059728334823834, 108.22295576433541 16.059688616663262, 108.22291188123098 16.059619454458158, 108.22272516955479 16.05972960188191, 108.22277462322371 16.05979425448353, 108.22281269785117 16.059767186359913, 108.22283885186435 16.05981300153513))"
10,"POLYGON ((108.22262027525933 16.05982247869535, 108.22266035893954 16.059858368993456, 108.22273922240537 16.059771845904756, 108.22269824249855 16.059750349102945, 108.22262027525933 16.05982247869535))"
11,"POLYGON ((108.22258330486704 16.059923300805792, 108.2226501351904 16.05986198943305, 108.222612844245 16.059826992439064, 108.2225460075534 16.05988560540743, 108.22258330486704 16.059923300805792))"
12,"POLYGON ((108.22258032979106 16.05964806985804, 108.2226539686738 16.05971266912073, 108.22267716005554 16.059685633867193, 108.2225932974375 16.059624655048918, 108.22258032979106 16.05964806985804))"
13,"POLYGON ((108.22260720589786 16.059605735507937, 108.22266223222266 16.05966677796449, 108.22268639201884 16.05965593101462, 108.22266117463344 16.059612812158644, 108.22265280068672 16.059611931170664, 108.22263878183435 16.059584078569895, 108.22260720589786 16.059605735507937))"
14,"POLYGON ((108.22250674826067 16.059607756105457, 108.22256545928227 16.05965349948501, 108.22259143066374 16.059621960761223, 108.22253644682341 16.059578907572046, 108.22250674826067 16.059607756105457))"
15,"POLYGON ((108.22239738115012 16.059776198077554, 108.22242906324058 16.059799514386032, 108.22249493365591 16.059725612612233, 108.22252096024239 16.05971745996915, 108.22253299557458 16.05969314775155, 108.22255618272558 16.05966431358203, 108.2225170505306 16.05963741585326, 108.22249108125752 16.05966985403265, 108.22239738115012 16.059776198077554))"
16,"POLYGON ((108.22232667295977 16.059770957217932, 108.22236580940039 16.05979965390984, 108.2224530150918 16.059700519957353, 108.22240643915738 16.059672739160156, 108.22240272471147 16.05967544576053, 108.22240646462099 16.059683532732276, 108.22232667295977 16.059770957217932))"
17,"POLYGON ((108.22243197834467 16.060246544044794, 108.22254008172305 16.060330855624432, 108.22259388506708 16.060267774073612, 108.22255099796163 16.060226493138252, 108.2225751111293 16.060195857985438, 108.22254713279804 16.060165337777242, 108.22249491820513 16.060113283782783, 108.22239468099683 16.060208848622054, 108.22243197834467 16.060246544044794))"
18,"POLYGON ((108.22142114280699 16.060770463611117, 108.22142675370412 16.06078304382615, 108.22150119154273 16.06079187463876, 108.22150836209458 16.06067672681465, 108.2214339327696 16.060671493860827, 108.22142114280699 16.060770463611117))"
19,"POLYGON ((108.22133000357819 16.060779658910292, 108.22138956655029 16.060792120375808, 108.22141901979883 16.06065893412276, 108.22135206602093 16.060668076189064, 108.22133000357819 16.060779658910292))"
20,"POLYGON ((108.22139663975835 16.060635597191617, 108.221491482804 16.060619197958818, 108.2214782989373 16.06055086733673, 108.2213834601576 16.060569065491777, 108.22139663975835 16.060635597191617))"
